ReviewStar,
"Bluetooth connection stability this device connects instantly but while jogging working out or on the move sometimes there is audio delay interruption which is unpredictable sometimes. If I'm using it with the phone in front of me it's awesome but if you want to enjoy music on the move or jogging etc this device will dissappoint you.The battery% fluctuated.. It means at the time connection battery level was 50/60% after using it for 15/20 min in medium volume the battery gets down ivr response battery low and indicator goes totally red.",4
"I purchased two wireless earphones simultaneously, Boat RockerZ 255 and MI basic wireless earphones. After using both for a week, I found that:1. Boat RockerZ 255 is comparatively higher on bass and sound quality.2. MI has a better battery longevity.3. Boat RockerZ has a more sturdy built.4. MI is easier and much lighter to move around with.I use either as per my need.",5
"Pro's - Packaging, easy wireless syncing with laptop/android, noise cancellation, battery.  Cons - Extremely bloated bass which makes it hard to listen to music to, poor mic which attracts complaint of poor sound quality while using phone/skype. These headphones are useful for sports/workout only.  Not for serious music listening or any use which needs use of the mic.",2
"The earphone is fine. The wire is way too long which is annoying during worouts. The wire at the neck is way too thick. Seems like wearing a hairband around the neck. I do not like it for that reason. It will just keep shifting from one side to another and will distract you during workouts.Dound quality is good. However, the bluetooth range is not so good. It starts to disconnectent while moving in the gym from one side another.",2
"sound quality: heavy bass, the vocals and instrumentals are a little drowned out by this. But I prefer heavy bass for workouts.build: build is pretty good and flexible.  it has a frame which goes around the neck, this can be kind of annoying when running or jumping, but i just tuck it underneath my shirt.  the eartips havent fallen out yet, they are a great fit.function: just a reminder that to change tracks u have to hold down volume up and down keys, double tapping middle button actually calls the previous person you called.",4
"First things firstHeadphone is very good...Connenctivity is awesome...Connects two devices simultaneously... If u r watching on one device and u receive a call on another then movie will get paused automatically...The only complaint is call quality... I had received Almost 15 calls on the day when i used it for first time.. and almost all of them asked me to remove my headphones... Bcoz they couldn't listen my voice properly....So consider this before.. overall ok..",3
"Perfect and strong build but sound quality isn't enough.The metal was too strong.It is Water resistant #testedEven after I've met an accident its still working perfectly.But the earpiece was too big and it may cause pain in the ears.Doesn't fit while sleeping or wearing a helmet.Sound quality was much better..!!A bit noisyBut everything  else is perfect..!!",2
"Im a kind of headset freak, was already having bunch of wired headsets and few wireless as well. I must say that by 2k u wont get any better product than this.In all perspective be it as bttery capacity, sound clarity, when taking calls I believe it out performs all the other BT earphones atleast in 2k budgeted earphones.Have a collection of BOAT branded earphones & wireless speakers, from that experience i can honestly say that BOAT never disappoints u.",5
"Pros:Nice Noise cancellation for a bt at the priceMagnetic eartipsCall quality is good with noise calculationNice bass for a bt headset at the pricePretty convenient while commuting because it's a bt headsetCons:If u r thinking about playing Pubg on it, then forget it. It's mic doesn't work with Pubg and voice is very low.Not the best sound quality at 1500 because it's a Bluetooth headsetOk battery lifeWires slightly longer than what's convenient",4
"It's one the worst product I saw... Its not working. Some prblm occurred within one month and even the repose of customer service and for  replacement if too poor. Even after the grievance no. Resposnse07015660510",3
"Battery backup is average.You cannot connect it during charging.Charging time is very less.There is no way to listen it in low battery, every two to three seconds, voice comes up to notify you the battery status.But overall a good product, 3.4/5 stars.",3
"I was hoping for great BASS which is not easily found in most low to medium budget headphones, but disappointed with it :-( Sound clarity is excellent, but output is so sharp & piercing that it could damage your hearing if you do NOT remember to reduce the volume by at least 2 points before plugging in! Over all, it is okay for the price but I already have an over-the-ear Bluetooth headset from boAt that I love and hence expected similar sound quality.",3
"I have tried few other wireless earphones but beats coming from this one is great. It gives a good balanced sound and it is so comfortable that it can be used for long duration. Battery life is also good, battery is easily giving 5 6 hrs of backup. I only found one thing that can be better that it takes a while to charge the battery completely, 1.5/2 hrs for charging.I have Boats wireless speaker also and that piece is also nice.Go for it.",5
"Sound quality is not crystal clear...On high volume it's very bad...The microphone is very bad actually that doesn't have noise cancellation...when ever I take a call when there is little disturbance...They other person is not able to listen my voice but he's able to listen all the disturbances.I literally hate this.even I replaced but the same problem that means this product is not well built",2
"Listening to Music:The sound quality of the earphones is good. The bass sounds are slightly over boosted; which may annoy some of the listeners. Bass lovers can buy without hesitation.Connecting Calls:The call quality is disappointing. The inbuilt mic is not that great. The other person's voice that we hear during a call is also slightly distorted when compared with making a call without Bluetooth earphones.Over all build quality is good.",4
"Ill give you honest review about this earphone. Excellent performance. Battery life very good. You can use whole day. I ordered 3 at a time from myntra at 900rs. That's was a very amazing offer on it. 2 connection works perfectly. But sometimess it gets auto disconnect but again it gets connected. But this is a case of one of my earphone, not with every earphone. I have all three colours. I'llI recommend you to buy this, as at this price you will not find any better earphone. Overall value for money.",4
"The unit stopped charging within months of purchase. Was replaced by boat in 10 days of complaint with a refurbished unit. The replacement provided was faulty with distortion of sound in one side and a 5 hour charge lasted for only 30 mins. Had to raise another complaint. Seems they don't do proper quality check before giving replacement. Will update on this basis the experience of the second complaint raised.",1
"Not upto the mark. I thought it is one of the best product.  But sound quality is average. Battery dies in just 4 to 6 hours. Getting pain in my ears as I wear this while watching movies or listening music. I thought there was some problem with the product I got first so I had to replace this item. But the product I got this earphone second time then I realised it's not just one item  but the whole model is bad. In just 1 month it's gone. Not charging and cannot switch on the product.I would rate just 0 star.",1
"I am using this product from last 4 month and got 1 replacement as well. This device is my second headphone.What is best -Battery life - 8 to 10 hrsDurability - if you will use without folding wire this is great.Sound - Amazing.Pairing - you can keep pair with 2 devices like I continually use with cell phone and my Fire tv stickWhat is bad - No noise cancellation so its bad when you will call someone as they will keep listen noise from your side whether your Tv volume is at 2 or 3",5
"Just unboxed the Boat rockers 255I am in love with the audio output.. Its simply amazingJust a bit sceptical about the genuinityNot sure if i have received a new unit .. the area where the wires connect to the earpiece seem like it was stuck for the 2nd time.Please notice in the image how well the area where wire meets earpiece near the green arrow looks well but the one near orange arrow is not... There is a white ring around it.",5
"I am trying to use it for calls. But there is too much noise and other person is not getting my voice. So I think waste of money to purchase this. I can connect this device to two platform computer or mobile. But there will be noise while using it. Within a month it's stopped working now. Useless product, Please don't purchase it. It's stopped charging now. You have to disconnect one device then you can take the call.",1
"Â My first priority for buying this product is comfort level 5/5 I have slept so many times wearing this earphonesThis earphones have best fitting  5/5It's Noice cancellation is very impressive 4.5/5  I am a hosteler so when I go to mess or noisy area I usually use this earphonesSound quality is good not best at this price 4/5Bass is good for me not for others because it doesn't have heavy loud bassQuality is very goodRange is okk , upto 10m distance",5
"Cool earphone It can cover 3 to 5 meeter range and earbuds are good take the shape of inner ear but earplugs which are fitted in ear have loosed and sometimes come out from buds so I have to very carefull about it. If it missed then it wouldn't get replacement and your earphone will go in trash This is only problem with it otherwise sound quality,look,fitting in any type ear and bass are awesome....Have a Good.......:-)",4
"Sound quality, moisture wicking are very great. Noise cancelation is good. But I observed switching off before battery is even more than 20%. Build quality and performance are good. And very comfort to use.",5
"However i haven't used them properly. But one of my friend is using them. Perfect noise cancellation, great bass. Can be used for outdoors, while riding on bike. Mic is very sensitive. I think earbuds are having mic on each of them. Magnetic lock. Couldn't wait for the sale to buy it for 999. I bought it for 1499.",5
"I want to claim warranty....I ve issue on my wireless bluetooth headset,It was not working on right side from last night",1
"I didn't expected too much at this price range but I ordered it.But Sound quality is awesome .Bass is also superb. battery life is also good. I have used for 4 hours approximately but not charged once.Very easy to use.Easily connects to my mi phone and ipad.Go for it.And at last, packaging and transport is good reached before time",5
"Bluetooth range is very low when compare with my Samsung Mono headset...I used for iPhone 6 but itâ€™s not compatible with that in distance..itâ€™s work for me within the room only. But other Mivi bluetooth earphones workin well...I feel itâ€™s waste of money for IPhone 6 users...bcoz I used it only on iphone6",2
"I can say 1 thing , just blindly buy this product. I buyed during the offers and I got this at very less price 999. The bass n sound is simply awesome. Don't waste more money on other headsets .it's the very best headset and you will love it .",5
"Over all it is a below average product.-Very uncomfortable in my ear, painful after 15-20mins only.-Sound quality is very low and not clear many a time.- Bass is ZERO.-As you can see in the picture, it is on charging so frequently.- and the WORST part is; you are not allowed to return it even you want to replace it Amazon will replace it with the same product, why the hell I'll order the same product again with so many flaws.Amazon atleast allow me to pick other product.",2
"Got the earphones 3 days back. As with other boAt earphones the sound quality including bass is really good, but the background noise cancellation is not good. When i am talking on phone, the quality of sound heard by the person on the other side is not good with lot of background noise from my side, which doesnot happen with wired earphones or talking without earphones. Battery backup till now is good. No other issues.",3
"Writing review after using 2 months of the product. Initially the sound quality was good and the connectivity was also good. But after one month of use connectivity problem started. After two month of use one day it suddenly got turned off and I was not able to turn ON the device. I registered complaint on there website and after 2 weeks they pick up the device and now after 2 week they collected for there pick up service. I will never going to buy there product. Pathetic service. Totally time and money wasting.",1
"Everything going well but today sound not coming from left side i don3 know why right ear aide working fine but left side sount too much slow which irritating me now.",1
"Like:LooksSound qualityEase of connect.Dislike:No carry box providedPoor packagingWires are lengthy*Today i got the product but the box was broken and the product seems to be used one.",4
"Please get me refund or replacement  of my orderJust open to check my ordered piece,  but it is not getting charge neither getting connected to my deviceAlthough charged for about 30min but still problem not resolvedOn top of all odds,  charging wire also already having issue.  Not getting plugged At all.Very much disappointed, However the look and feel is really great and very satisfying.I have placed request for returning the item",2
"Sound quality is not that good as compare to wireShort range some time base did not come at all some connections problems",1
"I have got incomplete box , there is only usb cable and earbuds",1
"Wonderful Bluetooth Earphones for the price, the sound quality is equivalent to my wired LG earphones and the fitting is good too(my wired boat earphones used to easily slip out of my ears) and for the durability will have to test for at least a month, for now they look good",5
"I was so excited when I purchased this Bluetooth headset. But too much dissapointed when I used. Volume is very low while listening, not up to mark and no bass at all in any song. Totally dissapointed, returned back. Not recommend for music lovers at all. Even in call , caller volume is also very low.",1
"Stopped working after 1 week usage, not durable and battery back up is not up to mark. no response from customer service centre. very disappointed",1
"I have used it for 1 day and no complaints till now. Build quality is good. Very light weight. Sound quality is good. It has super extra bass so those who don't like extra bass have to think on it before buying. Battery life is also good 5hour 35 minutes. Saw 2 movies in a day along with attending calls. Charging time is approx 2 hours. One of the good features I like that when you connect to android phone it shows headphone's battery icon next to bluetooth icon. That battery icon show how much charge is left.",4
"This is disgusting. The product stopped working in exactly 12 days. Bought on 7 Mar 2019 and the return deadline was a 10-day window. This is utter nonsense. Don't know how to return this damn crap now. I'll need to file a suit rather, for the benefit of greater good.Current update as on 26 April: I got the replacement product directly from Boats company and Amazon played no role or assisted in anyway.",1
"Writing this review after one month usage.Product is meant for people who prefer good bass. Sound quality starts dropping once u move away from object let it be like 4-5 meters too initial it was better. As it takes into consideration your body deflection ,and sound of a person talking is like he is in water.battery life is good.sound quality is better as i grabbed it for discount at 1200/â‚_.Actually would give 3.5 _ŸŒŸ",3
"I like the overall sound quality of the product, just that you have to push to buttons for a few good seconds to power on or off or change to a next track. And that's not too comfy when you're on a treadmill",5
"Sound coming off these seem imbalanced. The vocals seem to be in the background and the instruments in the foreground. Also can't run or jog wearing these as the part with the buttons keep hitting your collar bone.",2
"Gys sounds is very good ,can choose it blindly,bass very good in Bluetooth system,if damage after receiving or before receiving that others matter,but sound is too good.but sure register after receiving online.",5
"Very bad product, i wqs fan of boat till i bought this ear phones, i bought two of these ans within 3 months one sidded stopped working of both earphones. I sent for replacement from official sites and they send me msg after 10 months that some guy from courier company will pick up fauly earphones but no one is coming since 10 days after msg, i am continuously calling that xpressbess guy but he answring like i will come this time and that time but he never comes. Worst product, worst service Dont buy.",1
"Sound Quality : The sound quality is very good... Good baas... At higher volume the bass tends to overpower the vocals but at this price point the audio quality is very good.Battery life : takes around two hours to charge completely. I do not use it continuesly but it can give you around 6 hours of music playback and talk time included.Durability : around the neck design allows the earphone to be used freely... making it tangled free... durability of the wire is also very good.",4
"Got it for 999 during a flash sale.The left earphone stopped working properly within a week. Got it replaced.. Thanks to amazon.The replacement is even worse. The battery dies down within 2 hrs of usage. And to top it off, the boat support is being handled by idiots who say that battery damage isn't covered under warranty. Even when i mentioned this is a new earphone hardly used for a week, the answer is same.So just stay away from boat products however lucrative the deal might be.",1
"It was going exactly so good untill three days.It showed low battery and plugged it in to the charger and since then it is not working.I did not expect this from ""AMAZON"" neither from ""BOAT""The worst part is have misplaced the recieptamd neither do I have the box in which it came..How do I reclaim my headphones.It was excellent the sound quality was very good but the issue which I faved,I never expected this from this company of such high stature.Amazon please look into this matter",1
"This is my 2nd purchase and it works as advertise. For the price this is best what one can get. Good bass, don't ask for low as it's just a decent wireless sport earphones. good fit, has some extra pair ear buds.",5
"The sound quality of the earphone is good. The base and the noise cancellation is commentable. But I am not Satisfied with the products durability, just usage of 6 months and one side of it is not working. I really am a BOAT fan, but this product didn't survive as per it's name and money. You will find better earphones in same price range or you may have to Shell out a little bit more. Overall rating is just above average for this earphones just because of the durability.",3
"Pros: Excellent sound quality for this price.. I would have not returned it, if it had continued to work well.Cons :  Stopped working 15 days from the date of purchase. Also, my phone had to be almost near the headphone for it to work well.",1
"Sounds quality is very nice...it has a good bass and the build quality is also nice considering it's price but the range of connection is very poor... Even if it is very close to the device the music gets cut a little which is annoying sometimesEdit: I exchanged the one I received with a new boat rockerz 255 and this one has no issues. The one I received earlier was defective...Changed my rating from 3 stars to 5 stars_Ÿ˜ƒ_Ÿ˜ƒ",5
"Sound quality is very good more than expected from a 1499 earbuds. After a long time enjoyed music. Bass is ultimate. Call quality is very good indoors. Didn't test it outdoors yet. I watched lots of best bluetooth devices video reviews and this one is listed in top 3. Hence considered buying it and it has turned out to be a good decision. Happy with it. Will test it more and update. Hope it will give a good battery life. 110 mah should last long",5
"The product is good for the price i paid 999.but i have a doubt whether its an original boat earphones.cuz the brand mark is nowhere engraved.just printed on the band.and its a long than expected..And Guys the battery backup is just 2-2.5hrs",4
"It's noise cancellation isn't very effective. U need to speak loudly for other party to hear your voice. Also, battery goes straight from 100 to 80% and theb to 60% in no time. After this just gives 3-4 warning within 5minutes of play and it'll go off. 60% battery means, it should hold at least for 30-40 mins but it doesn't. Good in terms of bass and sound quality. Overall it's an average product with lots of advertisement and marketing.",3
"I like the whole package(build quality, packaging, earbuds ,light weight, super comfy) the battery is good..it's all comes to the sound quality....for a Rs1200-1500 earphone it's too low....it's all bass...nothing but bass...nobody wants that much bass..used loads of other earphones..sound is too bassy...otherwise descent product",5
"The product is super but it is not robust. The earphones does not last long. I bought it on Sep 2018 and replaced it since one earpiece was not working within 4 months of purchase. The customer support is excellent but it takes 20 days time for the overall process. Again after 9 months of puchase, one piece is again not working. Sound quality is awesome. One cons is there that while calling, the other person recieves the sound too loudly any it irritates the receiver.",4
"The sound quality takes a big hit. I play have a lot that requires me to listen to audio ques, and I enjoy listening to music. Both of them were affected by the use of these. Also the ear plugs were slightly large and the rubber stiff enough to hurt my ears after continuous use",3
"It is one of the best Bluetooth based wireless earphones currently available in the market. The battery backup usually lasts up to 8 hours of continuous music listening. Since it is in-ear design, hence noise cancellation is good, however, it lacks active noise cancellation, which I am sure is not present in any product of a similar cost.Overall, it is a must buy and good to have.",5
"I am totally satisfied with the sound quality, durability, noise cancellation mic and finally battery was awesome but as a bike rider I am not going to suggest this one as it doesn't fitting to our neck when we ride two wheeler.When we r driving the band behind the neck  is going back for air which is totally uncomfortable for user and pilon on the bike.For my Samsung galaxy MAX through this bluetooth headphones i can't use Google assistant as I not supporting for my device, I am not sure this problem is for everyone or not",4
"Sound quality is not so good and not so bad, I'd say average. Bass is good but not so strong with treble. But the main problem is the durability. In 3 months, battery started draining in an just an hour long usage and also phone calls stopped working. This is the second time I'm having a terrible experience with BOAT earphones, earlier with a different model. I'm really starting to think if they're worth it because of this durability concerns.",2
"Merits:-1. Been using it for last 2 weeks. The earphone's sound and the bass is mindblowing.2. Once if u fix the earphone into the ear you can't hear anything from outside even without playing songs.3. About the charging, they have mentioned 6hrs standby but it will be upto 7 to 9 hrs also if you are  using it continually.4. Sweat proof is also awesome,  Very flexible,  weightless. Demerit:-1. Ear buds are not perfectly fit but u can enjoy enjoy the music.",4
"Hi, I bought this on 5th Feb and it stopped working on 16 Feb 2019. I am chasing people to at least get the item replaced but not sure if they will help on this. On 16th Morning, it neither switches on nor it charges when trying to charge.Very bad to see 2000 rs going in vain.Mohit",1
"I dont lik that Bluetooth connectivity of this product its easily lost the connectivity with in 5 to 6 meter even company claim that 10 meter of connectivity and microphone not good opponent Cannot hear voice properly they telling u need to talk loudly even m loudly yelling opponent can hear voice very low amount rather than normal phone talking microphone is worst otherwise may be this product has problems i want original product with proper replacement and dont want defective product again",1
"I got it for 1000 which is great getting this earphones at this price is really great .sound quality is also good , base is really good here , the quality of sound is also goodbattery life: it last long for like 5-6 days for 1-2 hours per day usage .",5
"Like the sound quality ,and durability of the product, should have been better if the design of the earbuds were like of that of iphone earbuds, once inserted in ears you will not be able to hear outside sound.",4
"The sound quality is fine, the bass is also okay. They are very light, so if you use them while running or working out you don't even feel them. The battery life is also good. Most importantly if you work out or run then you don't have to constantly worry about the wire being pulled. So for â‚_999 these are a good catch.",4
"Faced 2 issues :1. I tried all three different sizes of earbuds but they don't fit in perfectly in my ear and keep falling out.2. While taking a call, the other person keeps complaining that my voice is echoing. I like to use earphones while taking a call, so half the utility of these is lost.",3
"I bought these earphones one month ago and today it's one side Stopped working, overall headphones are best at this price, sound quality is also very good, bass is very high which is very good, but it's built in quality is somewhat lowAs I said it's one side Stopped WorkingBut I claimed warranty and boat is now replacing me these earphones, hope the replacement should not also stop working",2
"Stopped working after 1 month",1
"I made a mistake buying this item. It hardly gives 2 hours for a promised upto 6hrs. That is just half of it. Once full charged I checked it, but after two hours battery is dead. The sound quality is average, built quality is decent but the battery is too bad. I am thinking of replacing a new one.",1
"The sound has more of bass and very little treble effect. If you like to listen to your music with slightly higher setting of treble, you will be disappointed. Battery is very good and so is noise cancellation. It's quite big and sturdy though, will not go unnoticed.",3
"the headsets are comfy and the design is sleek regarding sound the headsets handels most of the back gound instruments just fine not great just fine the base is so much that it interferes with the voice of the vocalist the sounds gets suppressed while the base is just loud the voice also cracks sometimes if you listen closely overall not for everyone but great buy.",3
"Great battery and good audio quality. I love it. This is goes with me to office, shop, market everywhere.- Good connectivity.- Good audio quality of bass and treble.- Good look- Great comfort in wearing for several hours.- Good battery.",5
"Poor connectivity, even distance is less than 2ft. Voice break in call and sometimes in music. Tridled with few different phones to make sure no compatibility issue, but all time connectivity issue. For this high price, not upto mark. Box packing was used. Seems like supplier keep rotating faulty used item.",2
"The best part about this headphone is its sound quality, immersive and deep, way better than some of the more famous brands in this price range.However, there are no other major features in the headphone, and it is a bit clunky (not user friendly) to use.But if you just want to pay for the sound quality and not the frills, then this is an exceptionally good headphone",4
"As I get these for jus Rs. 999, the sound quality is great for me in this price range with wireless connectivity.It gives me more then 6 hours of battery backup on every full charge ( got discharged in between 6-7.5 hours depending on my usage).I m happy that I bought it. _Ÿ˜_",4
"Sound quality is average. Bass is below average... horrible experience using this. After 2hrs of usage ears starting paining... Bluetooth range is around 5ft only after that it fluctuate. Noise cancelling is good. Wires are bit longer so it looks ridiculous. and on using this earphone on above medium level of volume it lasts for around 3 hrs only... Overall please don't buy it go for other options with lighter weights of earphones.",3
"Bought Boats Rockerz 255 recently and its upto mark. Works flawlessly with my OnePlus 3T. Sound quality is surprisingly good with good amount of bass and treble. Also battery backup is good.Highly recommended!",4
"Nice product... but a bit high price.It could have much better sound quality at this price. I have always loved ""Boat"", it is one of the best product of boat but could be better. Sound quality is average... not upto the mark. I was expecting it to be more clearwith better base n treble.",4
"Quality is not upto the mark. Instead you can just go with JBL wireless. It is just 300 rupees more than boat or you can opt for JBL wired which is just 800 bucks and way more worth than boat. Too much noise in the background. It even got replaced once but no use. Now they have only replace option and no refunds. Waste product. Don't even like it. It's just fallen in my drawer everyday and I don't feel like using it at all.  DO NOT EVER BUY BOAT IF YOU ARE LOOKING FOR QUALITY.",2
"First impressions with one day usage.Pros :--1. Extra Bass.2. Battery (got around 8 hours from out of the box without charging even once)3. Good connection.4. Comfortable.Cons :--1. Build quality.2. Wires are little bit long.Go for it if you are looking at Bluetooth Earphones under 1.5k. I got it for 1,299/- rupees.",5
"This product stopped working. But when I put it on charging it is working fine, seems issue with the battery . I purchased it by seeing the review but now i regret buying it. I have sony earphones which is working perfectly even after 2.5 years. I will Never use boat again",1
"Quality is very good in this price range. Bass is superb. I mostly use it for workouts. It does the job well. I face problem about noise cancellation as the other person on phone always complaints about unnecessary sounds from the sorroundings when I take a call outdoor. Service delivery from boat is amazing and satisfactory. They replaced my headphones after 3 months as one of the buds started sounding low.",5
"Sound is very good.....but i think their is a design issue which make it not fit in ear properly.... that's why one can't experience the bass properly if not tightly pushed in. Battery life is suprb upto 6 hours and charging time 1.5 hrs. But due to metal finishing in winter it becomes very cold and hurts the ears. The summer u can think....Its a nice purchase for listening music but some  designing faults i can see that's it.",4
"I got the in month of june.... Suddenly right side had stopped working.... Can u help me for replacement.... As itz showing 1 year replacment warrenty",3
"This is my replacement order and facing same issue. Other person can't here my voice properly during the call via Bluetooth. They can only here background disturbance even i sit in room. Eco problem! Deciding to return and order some other brand. This is only good for music.",2
"Awesome product at this price..the sound quality is very nice, noise cancellation is very effective which makes it very useful for those who use it while travelling. The ear support curve is very comfortable, you can use it for hours without having any pain in the nearby area. Overall good product, stand very high amonst his peers.",4
"With in few months one side of head set is not working.  I am not able to find service centre in chennai and in online centre green and black model is also not displayed for selection.",1
"Received the package on time.The headphones package is basic.No case which is little disappointing.1.Sound quality is awesome,bass is really nice, sounds is loud.2. Call quality is also nice.3. Bluetooth range is not so good.4. Battery life is awesome. It last for atleast 6hours of music.5. Durability is also nice, as it is also water resistant so a big plus point.A must buy budget headphones at this price range.So a big 5*",5
"It's sound n noise cancellation is good , Battery Backup is good too. But after using for 1-2 month it one side shut down suddenly n also the caller in front can't hear your voice it's mic is below average. Also I faced Bluetooth range problem when I connect it to my phone and keep my phone in my pocket it just disconnect....I have place a replacement. So let's see",3
"Hi guys....the product is good. Gives a battery backup of around 5 to 6hrs and takes nearly 1hr to 1hr 30mins. You can use it while working out in the gym. The sweat doesnt affect the device.There are some issues with the product. You can hear some disturbance many times. Bluetooth connectivity range is around 5metres only.Overall a nice product at this price range. You can go for it if you are in a tight budget and also want a branded product.",4
"Whenever i call somebody then the ring sounds very poor. It feels like watef is there inside the soeaker of headphone/earphone. It creates too much irritation. Along with this i couldn't experience any noice cancellation/reduction feature in this because during call (the people with whom i was talking), they were saying some disturbance from your side and the same I was feeling. So overall for listening music its good but for calling purpose its not a nice product to buy.Thanks",3
"Basic wireless headset with mic. Sound quality is average. Had expected good bass as its from boat.. but was disappointed with the bass as well as the sound quality which sounded artificial. Batter backup is good and also the make quality is good.  A 3 star product.",3
"Product function buttons are not working..service of Amazon is also not reached my expectation. Returned the product stating the issue again got the product after 3 days with same defect... They got benefited by getting the feedback from my side.. and me roaming here and there for collecting the product, returning the product and eagerly waiting for unworthy piece...if they are not allowed till the place mentioned in the address...they should tell beforehand...",1
"I bought this in amazon sell with sbi card in 900 rs. First, the bass of sound is very good.noise cancellation is good.  All other features like buildup quality, ear fitting, etc are above average. Not bed but don't compare with costly one. Finally one line- good one batter then all other brands up-to 2000-3000. Value for money if you buy up-to 1000-1100.",4
"Not great sound quality. The bass is over amplified. But its a comfy fit and does an excellent job in cancelling out external noise. Some of the JBL headphones in the same range will provide you with better clarity of sound, wherein the mids are well highlighted along with the bass. But if you like fo listen to music with heavy bass, then these are definitely a better pick. Boat makes quality products for the given price.",4
"Cons:1. No vibration on call.2. 6-7 hrs battery drain in not use but connected state.3. Wires are longer than it looks, so they are hanging around while in use.4. Inear support is useless.Pros:1. Bought for 999 which just okay.2. Sound is okay.Would suggest Samsung Level U for 2000.",2
"This product is not good and compatible with iphones. Sound quality is very low, on call sound is worst and phone battery is draining like anything. Twice ordered (using return option) but both the sets were same issue. I do not recommend this product for iphone. For other phone may test and try.",1
"I am facing problems with mine one...i dont know why bt the left earpeice stops working automatically sometimes...i jst ordered for replacement...bt now m afraid...d if d replacemt product works d same way....den my 1500 rupees will be a loss...if any of you face the same...please let me know",1
"Excellent headphone for calls and music. But if you are gamer, you will face issue of sound. As it is bluetooth device, you will get sound delay by .5 sec. Like when i play pubg using this headphone, I get sound delay. So sometimes its difficult to spot any enemy in close range. No issue with headphone, it is because of bluetooth connectivity. And you gonna face this issue in every bluetooth headset. So go for wired if gaming your priority.",4
"Very bed",1
"Amazing bass at that price range. Play with equalizer and you can milk the most out of this earphones. However, one small drawback with this earphones is that when the earbuds is inserted firmly, it tends to kind of air lock the ear which is necessary for Noise cancellation but not so good for your ears.",5
"The sound quality is good, stays firmly on the ear and battery life is decent. But, the turning on and off and battery low notification with voice is very annoying. The battery notification that appears on the phone jumps in large increments and is unreliable. Also this is unusable while running or riding as the audio gets distorted a bit under shaky situations which is I guess is the biggest flaw.",3
"IF you are bass and Treble lover, these wireless earphones are for you. I bought this for Rs 1499/-. I m using it with an Iphone and i enjoyed the output.Positive part: Great Design, Good output for given budget, Noise cancellation  is good too.Negative Part: I experienced Bluetooth connection disturbances wile exercising, U need to use equalizer settings if u do not love Bass and treble.Overall it is a good product....",4
"The product has decent build quality which makes it durable. However the cable is too long which makes it look a little weird hanging around your ears. Battery drains quickly. Sound is amazing, perhaps the USP of the product. Not good for bike riders as wearing a helmet gives pain in the ears.",3
"You can take this as a bluetooth version of boat wired 220/225 headsets.Sound and bass is great but not clear in few situations.Noise cancellation was worst to the core voices of people 10m away from you is clearly captured and irritates you to the core, don't know whether it is a product issue which i received.I missed to notice with in the return duration otherwise would of replaced it.Now i need to reach support team for replacement.",3
"Price is best.Worst battery life.Four years back, I purchased Nokia wireless earphone, which had option save battery when not working, but Boat don't have that yet in this earphones.If you are using apple earphones, then you'll not like bass of this Boat earphones.",2
"Waste of money, people who all reviewed it as great seems they rated it for no good reason1. Sound quality is extremely poor and it feels like a local headphone which is sold in the market. NOT upto the mark.2. Battery drains in no time, charging hours compared to listening hours will be less.",1
"It fullfills all requirement of music lover, action movie lovers, those who talk for long and those who listens audio books.Bass is high, it depends on choice. But it doesnt kill trebel, mid and high tones so listening is wonderful experience.Connectivity is very fast and battery backyup is 6hrs+ in playtime.Rest all is good.",5
"It was amazing product. Base was nice. It last for more than 6 hours.I didn't get any USB charging cable with the package.",2
"I didnt expect this much from boat.I got this for 1499Sound quality is good and the Bass is deep( great)Fits so perfectlyButtons are very reliableBattety is good (  only used for 2 days)Its very worthy on this budget...Honest review",5
"Damn good value for money and sound quality is excellent.  Noice cancellation quality is great. Only thing is the ear plug wire length is bit too long for my liking. Wish they could have shortened the length of the ear plug wire of the neck brace.",4
"This product's sound quality is impressive. The tagline speaks for itself - immersive stereo sound is truly what one gets. It charges quickly, and lasts for a long time (5 - 6 hours of use). I also own an Audio Technica M50x, but now it rarely sees use due to these quite marvellous earphones. Note that these headphones costed north of â‚_9,000, while these earphones were a fraction of that price. Good job, boAt.",5
"It's my first day of use and the product is overall good as expected but just one dissapointing thing is the Bluetooth connectivity it cuts off in between which is not pleasing when your listening to songs otherwise the sound clarity and bass is no doubt quality and up to the mark just the connectivity factor is something which bothers me let's hope it gets better in days...",4
"Yaa,product quality is not that much Good,it was showing the Bluetooth range is approximately 10metre but in my case it is working well within a range of 3/4 metre,if I go beyond this range the music/Calling quality is very bad.I don't know why the company like Boat having this much poor music Quality,But is doesn't satisfy value for money.Thank you.._Ÿ˜Ÿ_Ÿ˜Ÿ_Ÿ˜Ÿ_Ÿ˜Ÿ",3
"After many research I bought this earphone thinking that it is best Bluetooth earphone at best price. Initially it worked as expected but after two months of normal use, it's earbuds and hooks went off. Then suddenly its left side earpiece stopped working. I used  this one with care as mentioned in manual and used for only two hours a day every day and two. Very very disappointed. I guess they compromised the quality to compete with competitors price.",2
"One of the best in-ear phone that I have ever used it so far.. This one rely rocks..Amazing sound quality and one of the lightest ear phone suits very well for most of the sports activities...",5
